year,median_income
1953,42990
1954,42500
1955,44060
1956,48690
1957,48560
1958,48250
1959,50460
1960,51140
1961,52330
1962,54570
1963,56260
1964,58560
1965,59350
1966,60910
1967,63630
1968,65510
1969,69270
1970,70520
1971,69680
1972,73070
1973,74090
1974,73240
1975,70180
1976,70630
1977,72360
1978,73320
1979,75930
1980,72470
1981,71750
1982,71120
1983,73070
1984,74890
1985,77660
1986,80450
1987,82920
1988,85060
1989,88260
1990,84180
1991,82820
1992,81620
1993,80230
1994,82260
1995,82170
1996,84870
1997,86260
1998,89040
1999,90220
2000,92840
2001,92960
2002,91430
2003,94480
2004,92830
2005,92950
2006,95210
2007,94530
2008,94780
2009,91950
2010,90690
2011,89430
2012,90320
2013,94280
2014,95460
2015,101100
2016,101500
2017,102300
2018,106100
2019,115800
2020,113100
2021,114600
2022,108800
2023,110500
